"Close.x","T10Y3M_20180601","Close.y","BAA10Y_20180601"
12.04,38,1416.599976,43
11.51,42,1418.339966,44
12.14,40,1409.709961,42
12,42,1412.839966,40
11.91,42,1412.109985,40
11.47,40,1414.849976,40
10.87,37,1423.819946,40
10.15,32,1430.72998,40
10.74,36,1431.900024,40
10.59,33,1430.619995,39
10.85,37,1426.369995,39
10.4,36,1430.5,38
10.77,37,1422.949951,38
10.34,33,1427.98999,38
9.89,32,1440.130005,38
11.22,27,1423.900024,37
11.13,25,1422.180054,37
11.45,24,1420.619995,36
10.96,25,1428.819946,37
10.42,29,1438.23999,38
10.31,29,1445.939941,37
10.08,31,1448.390015,37
10.55,34,1446.98999,37
10.65,37,1448,36
10.32,41,1450.02002,37
10.44,43,1448.310059,36
11.1,36,1438.060059,35
11.61,38,1433.369995,35
10.34,35,1444.26001,35
10.23,42,1455.300049,36
10.22,46,1456.810059,37
10.02,47,1455.540039,36
10.24,50,1459.680054,36
10.2,48,1457.630005,35
10.18,45,1456.380005,35
10.58,49,1451.189941,34
11.15,55,1449.369995,35
18.309999,63,1399.040039,40
15.42,59,1406.819946,42
15.82,58,1403.170044,44
18.610001,59,1387.170044,46
19.629999,58,1374.119995,50
15.96,60,1395.410034,48
15.24,61,1391.969971,48
14.29,58,1401.890015,49
14.09,50,1402.839966,47
13.99,52,1406.599976,47
18.129999,58,1377.949951,53
17.27,52,1387.170044,55
16.43,50,1392.280029,53
16.790001,48,1386.949951,53
14.59,47,1402.060059,53
13.27,49,1410.939941,54
12.19,51,1435.040039,56
12.93,45,1434.540039,58
12.95,45,1436.109985,58
13.16,45,1437.5,58
13.48,45,1428.609985,59
14.98,44,1417.22998,61
15.14,41,1422.530029,57
14.64,39,1420.859985,58
14.53,39,1424.550049,57
13.46,38,1437.77002,56
13.24,41,1439.369995,57
13.23,36,1443.76001,57
13.14,27,1444.609985,55
12.68,30,1448.390015,55
13.49,30,1438.869995,54
12.71,29,1447.800049,54
12.2,26,1452.849976,53
11.98,27,1468.329956,50
12.14,32,1471.47998,50
12.42,34,1472.5,49
12.54,31,1470.72998,49
12.07,31,1484.349976,50
13.04,32,1480.930054,50
13.12,35,1480.410034,50
13.21,31,1495.420044,50
12.79,27,1494.25,51
12.45,24,1494.069946,50
14.22,28,1482.369995,50
13.51,26,1486.300049,49
13.08,26,1495.920044,48
13.09,22,1502.390015,46
12.91,25,1505.619995,46
13.15,25,1509.47998,46
13.21,27,1507.719971,48
12.88,21,1512.579956,47
13.6,22,1491.469971,48
12.95,20,1505.849976,48
13.96,16,1503.150024,47
14.01,12,1501.189941,47
13.5,4,1514.140015,46
13.51,5,1512.75,46
12.76,3,1522.75,45
13.3,9,1525.099976,45
13.06,10,1524.119995,45
13.24,5,1522.280029,45
14.08,5,1507.51001,45
13.34,2,1515.72998,44
13.53,2,1518.109985,44
12.83,87,1530.22998,43
13.05,101,1530.619995,42
12.78,100,1536.339966,42
13.29,96,1539.180054,39
13.63,99,1530.949951,38
14.87,101,1517.380005,42
17.059999,115,1490.719971,42
14.84,119,1507.670044,44
14.71,125,1509.119995,43
16.67,138,1493,42
14.73,138,1515.670044,39
13.64,142,1522.969971,38
13.94,144,1532.910034,42
13.42,136,1531.050049,42
12.85,128,1533.699951,42
14.67,124,1512.839966,38
14.21,130,1522.189941,42
15.75,125,1502.560059,42
16.65,111,1497.73999,40
18.889999,112,1492.890015,43
15.53,116,1506.339966,40
15.54,118,1505.709961,42
16.23,105,1503.349976,40
15.4,89,1519.430054,42
14.92,94,1524.869995,42
15.48,105,1525.400024,39
14.72,108,1530.439941,40
15.16,103,1531.849976,39
17.57,92,1510.119995,42
